Date and Time,Node Count,Space Pledged (byte),Subspace-CLI nodes,Space Acres nodes,Linux nodes,Windows nodes,macOS nodes,Space Pledged (PiB),Space Pledged (PB)
2024-11-06T17:00:38.333Z,258,1048576000,257,1,177,76,5,,
2024-11-06T18:00:54.432Z,365,1048576000,365,,246,113,6,,
2024-11-06T19:00:32.957Z,416,1048576000,416,,278,133,5,,
2024-11-06T20:00:32.956Z,489,1048576000,464,26,307,177,6,,
2024-11-06T21:00:35.909Z,547,1048576000,486,61,319,222,6,,
2024-11-07T02:37:16.676Z,889,1048576000,661,228,444,438,7,,
2024-11-07T14:00:20.960Z,1411,1048576000,893,518,828,573,10,,
2024-11-07T23:29:33.912Z,1450,1048576000,907,543,862,578,10,0.0000009313225746,0.000001048576
2024-11-08T04:00:45.019Z,1537,1048576000,959,578,910,616,11,0.0000009313225746,0.000001048576
2024-11-08T05:00:42.446Z,1501,1048576000,932,569,882,609,10,0.0000009313225746,0.000001048576
2024-11-08T06:00:32.113Z,1532,1048576000,955,577,906,615,11,0.0000009313225746,0.000001048576
2024-11-08T07:00:33.704Z,1545,1048576000,967,578,912,623,10,0.0000009313225746,0.000001048576
2024-11-08T08:00:37.811Z,1562,1048576000,974,588,924,628,10,0.0000009313225746,0.000001048576
2024-11-08T09:00:36.651Z,1583,1048576000,964,619,950,622,11,0.0000009313225746,0.000001048576
2024-11-08T10:00:40.082Z,1610,1048576000,980,626,963,633,10,0.0000009313225746,0.000001048576
2024-11-08T11:00:34.886Z,1596,1048576000,975,622,958,628,11,0.0000009313225746,0.000001048576
2024-11-08T12:00:26.571Z,1603,1048576000,978,625,967,627,9,0.0000009313225746,0.000001048576
2024-11-08T13:00:50.175Z,1620,1048576000,981,639,981,630,9,0.0000009313225746,0.000001048576
2024-11-08T14:00:31.894Z,1615,1048576000,991,624,972,635,8,0.0000009313225746,0.000001048576
2024-11-08T15:00:29.478Z,1592,1048576000,964,628,952,630,10,0.0000009313225746,0.000001048576
2024-11-08T16:00:54.918Z,1625,1048576000,973,651,977,638,9,0.0000009313225746,0.000001048576
2024-11-08T17:00:46.930Z,1598,1048576000,961,637,955,633,10,0.0000009313225746,0.000001048576
2024-11-08T18:00:47.674Z,1609,1048576000,981,627,958,640,10,0.0000009313225746,0.000001048576
2024-11-08T19:00:27.501Z,1600,1048576000,970,631,963,630,8,0.0000009313225746,0.000001048576
2024-11-08T20:00:45.488Z,1595,1048576000,966,627,957,629,7,0.0000009313225746,0.000001048576
2024-11-08T21:00:54.567Z,1613,1048576000,980,632,964,640,8,0.0000009313225746,0.000001048576
2024-11-08T22:00:32.061Z,1613,1048576000,979,634,969,637,7,0.0000009313225746,0.000001048576
2024-11-08T23:00:28.286Z,1632,1048576000,994,638,972,652,8,0.0000009313225746,0.000001048576
2024-11-09T00:01:22.362Z,1596,1048576000,968,629,956,634,7,0.0000009313225746,0.000001048576
2024-11-09T01:00:28.550Z,1624,1048576000,989,635,966,651,7,0.0000009313225746,0.000001048576
2024-11-09T02:00:41.959Z,1629,1048576000,977,652,976,644,9,0.0000009313225746,0.000001048576
2024-11-09T03:00:32.263Z,1645,1048576000,980,665,984,652,9,0.0000009313225746,0.000001048576
2024-11-09T04:00:32.203Z,1652,1048576000,977,675,998,645,9,0.0000009313225746,0.000001048576
2024-11-09T05:00:44.039Z,1660,1048576000,980,680,1007,643,10,0.0000009313225746,0.000001048576
2024-11-09T06:00:26.899Z,1659,1048576000,979,680,1002,649,8,0.0000009313225746,0.000001048576
2024-11-09T07:00:50.973Z,1670,1048576000,978,692,1010,651,9,0.0000009313225746,0.000001048576
2024-11-09T08:00:33.855Z,1673,1048576000,979,694,1012,652,9,0.0000009313225746,0.000001048576
2024-11-09T09:00:46.768Z,1675,1048576000,980,697,998,669,10,0.0000009313225746,0.000001048576
2024-11-09T10:00:44.496Z,1690,1048576000,978,712,996,684,10,0.0000009313225746,0.000001048576
2024-11-09T11:00:45.809Z,1704,1048576000,997,708,1001,694,10,0.0000009313225746,0.000001048576
2024-11-09T12:00:28.809Z,1720,1048576000,999,721,1007,700,13,0.0000009313225746,0.000001048576
2024-11-09T13:00:33.553Z,1705,1048576000,992,713,998,697,10,0.0000009313225746,0.000001048576
2024-11-09T14:00:27.296Z,1603,1048576000,941,662,923,669,11,0.0000009313225746,0.000001048576
2024-11-09T15:00:28.458Z,1702,1048576000,1017,683,1003,685,12,0.0000009313225746,0.000001048576
2024-11-09T16:00:49.253Z,1688,1048576000,1007,681,997,681,10,0.0000009313225746,0.000001048576
2024-11-09T17:00:41.315Z,1695,1048576000,1022,673,988,695,12,0.0000009313225746,0.000001048576
2024-11-09T18:00:28.613Z,1695,1048576000,1024,673,988,697,12,0.0000009313225746,0.000001048576
2024-11-09T19:00:28.308Z,1731,1048576000,1059,672,987,732,12,0.0000009313225746,0.000001048576
2024-11-09T20:00:50.852Z,1718,1048576000,1044,674,984,722,12,0.0000009313225746,0.000001048576
2024-11-09T21:00:40.048Z,1716,1048576000,1044,673,981,723,13,0.0000009313225746,0.000001048576
2024-11-09T22:00:35.240Z,1717,1048576000,1047,671,980,726,12,0.0000009313225746,0.000001048576
